          32          32          32
   3.94156170       3.93756294       3.93856335    
   6.15624934E-02   6.15624934E-02   6.15624934E-02   42.5800018    
   6.15624934E-02   6.15624934E-02  0.191562608       41.9700012    
   6.15624934E-02   6.15624934E-02  0.311562479       41.1300011    
   6.15624934E-02   6.15624934E-02  0.441562593       40.0400009    
   6.15624934E-02   6.15624934E-02  0.561562479       39.2500000    
   6.15624934E-02   6.15624934E-02  0.691562593       38.7700005    
   6.15624934E-02   6.15624934E-02  0.811562479       38.4900017    
   6.15624934E-02   6.15624934E-02  0.941562593       38.4000015    
   6.15624934E-02   6.15624934E-02   1.06156254       38.5299988    
   6.15624934E-02   6.15624934E-02   1.19156265       38.8699989    
   6.15624934E-02   6.15624934E-02   1.31156254       39.4900017    
   6.15624934E-02   6.15624934E-02   1.44156265       40.3800011    
   6.15624934E-02   6.15624934E-02   1.56156254       41.2400017    
   6.15624934E-02   6.15624934E-02   1.69156265       42.0900002    
   6.15624934E-02   6.15624934E-02   1.81156254       43.0600014    
   6.15624934E-02   6.15624934E-02   1.94156265       44.1500015    
   6.15624934E-02   6.15624934E-02   2.06156254       45.0600014    
   6.15624934E-02   6.15624934E-02   2.19156265       45.7900009    
   6.15624934E-02   6.15624934E-02   2.31156254       46.8100014    
   6.15624934E-02   6.15624934E-02   2.43856335       48.1199989    
   6.15624934E-02   6.15624934E-02   2.56356335       49.4599991    
   6.15624934E-02   6.15624934E-02   2.68856335       50.8199997    
   6.15624934E-02   6.15624934E-02   2.81356335       52.9900017    
   6.15624934E-02   6.15624934E-02   2.93856335       55.9500008    
   6.15624934E-02   6.15624934E-02   3.06356335       59.3300018    
   6.15624934E-02   6.15624934E-02   3.18856335       63.1300011    
   6.15624934E-02   6.15624934E-02   3.31356335       68.9000015    
   6.15624934E-02   6.15624934E-02   3.43856335       76.6500015    
   6.15624934E-02   6.15624934E-02   3.56356335       87.6699982    
   6.15624934E-02   6.15624934E-02   3.68856335       83.3300018    
   6.15624934E-02   6.15624934E-02   3.81356335       92.0999985    
   6.15624934E-02   6.15624934E-02   3.93856335       124.699997    
   6.15624934E-02  0.186562493       6.15624934E-02   41.3199997    
   6.15624934E-02  0.186562493      0.191562608       40.4300003    
   6.15624934E-02  0.186562493      0.311562479       39.4099998    
   6.15624934E-02  0.186562493      0.441562593       38.2500000    
   6.15624934E-02  0.186562493      0.561562479       37.4099998    
   6.15624934E-02  0.186562493      0.691562593       36.9099998    
   6.15624934E-02  0.186562493      0.811562479       36.5000000    
   6.15624934E-02  0.186562493      0.941562593       36.1899986    
   6.15624934E-02  0.186562493       1.06156254       36.2099991    
   6.15624934E-02  0.186562493       1.19156265       36.5600014    
   6.15624934E-02  0.186562493       1.31156254       37.1500015    
   6.15624934E-02  0.186562493       1.44156265       37.9700012    
   6.15624934E-02  0.186562493       1.56156254       38.8100014    
   6.15624934E-02  0.186562493       1.69156265       39.6699982    
   6.15624934E-02  0.186562493       1.81156254       40.6599998    
   6.15624934E-02  0.186562493       1.94156265       41.7900009    
   6.15624934E-02  0.186562493       2.06156254       42.6500015    
   6.15624934E-02  0.186562493       2.19156265       43.2500000    
   6.15624934E-02  0.186562493       2.31156254       44.2500000    
   6.15624934E-02  0.186562493       2.43856335       45.6500015    
   6.15624934E-02  0.186562493       2.56356335       47.3400002    
   6.15624934E-02  0.186562493       2.68856335       49.3199997    
   6.15624934E-02  0.186562493       2.81356335       51.9399986    
   6.15624934E-02  0.186562493       2.93856335       54.1899986    
   6.15624934E-02  0.186562493       3.06356335       55.9199982    
   6.15624934E-02  0.186562493       3.18856335       58.3300018    
   6.15624934E-02  0.186562493       3.31356335       64.2200012    
   6.15624934E-02  0.186562493       3.43856335       69.7300034    
   6.15624934E-02  0.186562493       3.56356335       72.1100006    
   6.15624934E-02  0.186562493       3.68856335       82.1699982    
   6.15624934E-02  0.186562493       3.81356335       91.2399979    
   6.15624934E-02  0.186562493       3.93856335       123.800003    
   6.15624934E-02  0.311562479       6.15624934E-02   40.5200005    
   6.15624934E-02  0.311562479      0.191562608       39.4700012    
   6.15624934E-02  0.311562479      0.311562479       38.3199997    
   6.15624934E-02  0.311562479      0.441562593       37.0900002    
   6.15624934E-02  0.311562479      0.561562479       36.1800003    
   6.15624934E-02  0.311562479      0.691562593       35.6100006    
   6.15624934E-02  0.311562479      0.811562479       35.0999985    
   6.15624934E-02  0.311562479      0.941562593       34.6399994    
   6.15624934E-02  0.311562479       1.06156254       34.5699997    
   6.15624934E-02  0.311562479       1.19156265       34.8800011    
   6.15624934E-02  0.311562479       1.31156254       35.3499985    
   6.15624934E-02  0.311562479       1.44156265       36.0099983    
   6.15624934E-02  0.311562479       1.56156254       36.7000008    
   6.15624934E-02  0.311562479       1.69156265       37.4399986    
   6.15624934E-02  0.311562479       1.81156254       38.3100014    
   6.15624934E-02  0.311562479       1.94156265       39.2900009    
   6.15624934E-02  0.311562479       2.06156254       40.0400009    
   6.15624934E-02  0.311562479       2.19156265       40.5400009    
   6.15624934E-02  0.311562479       2.31156254       41.5099983    
   6.15624934E-02  0.311562479       2.43856335       42.9199982    
   6.15624934E-02  0.311562479       2.56356335       44.7099991    
   6.15624934E-02  0.311562479       2.68856335       46.8699989    
   6.15624934E-02  0.311562479       2.81356335       49.5800018    
   6.15624934E-02  0.311562479       2.93856335       51.0400009    
   6.15624934E-02  0.311562479       3.06356335       52.5999985    
   6.15624934E-02  0.311562479       3.18856335       55.8300018    
   6.15624934E-02  0.311562479       3.31356335       61.2000008    
   6.15624934E-02  0.311562479       3.43856335       65.5800018    
